barrio,0
13 de noviembre,28
20 de julio,91
aguas frias,9
alejandro echavarria,6
alfonso lopez,48
altamira,1
altavista,45
andalucia,117
antonio nari¿o,1
antonio nariño,11
aranjuez,387
aures no. 2,10
aures no.1,1
barrio caicedo,233
barrio colombia,1
barrio colon,2
barrio cristobal,2
barrio de jesus,1
barro blanco,1
belalcazar,25
belen,383
belencito,89
bello horizonte,7
bel¿n,7
betania,1
blanquizal,25
bombona no. 1,14
bombona no. 2,3
bosques de san pablo,3
boston,59
boyaca,41
brasilia,1
buenos aires,372
cabecera san antonio ,249
cabecera san cristobal,349
calasanz,65
calasanz parte alta,6
campo alegre,1
campo amor,5
campo valdes no. 1,235
campo valdes no. 2,20
caribe,2
carlos e. restrepo,1
carpinelo,49
castilla,331
cataluna,4
centro admtivo,52
cordoba,23
cristo rey,14
doce de octubre no.1,203
doce de octubre no.2,2
eduardo santos,6
el astillero,2
el chagualo,14
el compromiso,13
el corazon,6
el diamante,6
el estadio,1
el llano,1
el pesebre,6
el pinal,11
el poblado,7
el progreso no.2,2
el raizal,1
el rincon,2
el rodeo,5
el salado,4
el salado ,2
el salvador,126
el socorro,25
el triunfo,6
el vergel,8
enciso,309
fatima,1
florencia,72
florida nueva,1
francisco antonio zea,34
fuente clara,2
gerona,3
girardot,38
granada,1
granizal,78
guayabal,115
hector abad gomez,2
jardin botanico,8
jesus nazareno,10
juan pablo ii,6
juan xxiii la quiebra,48
kennedy,33
la aguacatala,1
la aldea,1
la america,24
la avanzada,16
la candelaria,26
la colina,9
la cruz,7
la cuchilla,1
la esperanza,20
la esperanza no. 2,2
la floresta,89
la florida,2
la francia,48
la frontera,3
la hondonada,1
la isla,4
la ladera,6
la libertad,21
la loma,20
la loma oriental,2
la mansion,2
la milagrosa,176
la oculta,2
la palma,2
la pradera,34
la salle,5
la sierra,17
la volcana y guayabal,1
las brisas,8
las esmeraldas,2
las granjas,3
las independencias,1
las palmas,45
las violetas,7
laureles,3
llanaditas,48
loma de los bernal,1
lopez de mesa,27
loreto,34
los alcazares,3
los angeles,1
los cerros el vergel,3
los mangos,8
manila,1
manrique central no. 1,487
manrique central no. 2,270
manrique oriental,235
maria cano ,4
metropolitano,4
mirador del doce,1
miraflores,2
miranda,17
miravalle,1
monteclaro,1
moravia,171
moscu no. 1,3
moscu no. 2,1
naranjal,3
nuevos conquistadores,14
ocho de marzo,5
olaya herrera,36
oleoducto,1
oriente,1
pablo vi,37
pajarito,6
palenque,3
palermo,11
palmitas,24
parque norte,1
pedregal,116
pedregal alto,5
picachito,36
picacho,70
playon de los ,85
popular,363
prado,30
progreso,2
robledo,991
rosales,2
san antonio,9
san benito,9
san bernardo,2
san diego,27
san german,12
san isidro,1
san javier no.1,426
san javier no.2,21
san joaquin,1
san jose de la cima no.,3
san jose de la cima no. ,21
san josé de la montaña,2
san martin de porres,3
san pablo,50
san pedro,5
santa cruz,255
santa elena central,55
santa fe,1
santa ines,7
santa lucia,32
santa margarita,3
santa maria de los ,1
santa monica,8
santa rosa de lima,11
santa teresita,2
santander,67
santo domingo savio ,257
sevilla,8
sin barrio,1
suburbano altavista,2
suburbano barro ,1
suburbano santa elena ,1
sucre,17
tejelo,25
toscana,27
travesias,1
tricentenario,21
trinidad,44
universidad de ,1
veinte de julio,1
versalles no. 1,13
versalles no. 2,6
villa del socorro,43
villa flora,1
villa guadalupe,10
villa hermosa,169
villa liliam,1
villa niza,43
villa nueva,1
villa turbay,1
villatina,86
vrda. palmitas ,1
vrda. san antonio ,3
vrda. san cristobal ,7
vrda. santa elena ,1
yarumalito,2
zona expansion san ,6
